"time" "account_a" "account_b" "account_c"
2007-09-01 8107.79491750336 4897.0059129273 426.728323306974
2007-10-01 8020.91725643046 4897.0059129273 871.207211560508
2007-11-01 8000.05688342733 4897.01754483248 1026.6141549422
2007-12-01 7904.51066973023 4894.12141627531 695.680008726439
2008-01-01 8341.89192978947 4893.31732735194 895.998302762546
2008-02-01 8250.23617172539 4892.14279920565 978.620137201732
2008-03-01 8032.80824397166 4889.84119615347 362.833115212652
2008-04-01 8111.57284600134 4883.90444211266 510.785643175662
2008-05-01 7725.00848360078 4878.34404162271 238.489052868377
2008-06-01 7693.14460059647 4874.4433786376 643.721274536955
2008-07-01 7530.83989477301 4873.23980156753 447.594537681572
2008-08-01 7414.89217068359 4874.34810533962 1062.88598706176
2008-09-01 7391.73770046251 4878.55530101352 1051.96159075259
2008-10-01 7219.85862178392 4884.23570064486 777.587150750011
2008-11-01 7303.27692284024 4893.70711298507 911.973837698497
2008-12-01 7154.9500488035 4902.85282436162 981.781024890018
2009-01-01 7505.05710508666 4914.48081762188 481.826005906211
2009-02-01 7504.37071953521 4921.87945031512 928.339151003561
2009-03-01 7460.4395408835 4929.77872000819 984.959064279024
2009-04-01 7321.64950430548 4935.47093321577 727.965120162291
2009-05-01 7171.08013258634 4943.22421954453 986.131631764823
2009-06-01 7271.81139086393 4956.9773255422 453.026315145212
2009-07-01 7176.94307860234 4970.597844761 1008.71944571902
2009-08-01 7238.44377003286 4989.42392167331 1044.55795975419
2009-09-01 7039.6605509547 5015.35213778634 297.34827747158
2009-10-01 7013.87724968677 5047.82074008792 615.409970651923
2009-11-01 7086.34986843723 5081.89249686728 226.44533539841
2009-12-01 7064.41750930349 5122.87061190717 766.279462144089
2010-01-01 7254.22725133708 5161.30434362227 698.590362924318
2010-02-01 6983.2411806038 5199.18592995862 1124.89258079315
2010-03-01 7027.33073571052 5233.31037119745 851.795993918601
2010-04-01 6910.4694310385 5263.77687714543 1174.53556229857
2010-05-01 6662.52830690621 5296.46634857085 978.202478285842
2010-06-01 6587.85606038738 5330.85617053891 881.279253542486
2010-07-01 6591.28702606117 5366.75204704703 427.714374168602
2010-08-01 6425.41000725297 5402.0383837303 689.320458203616
2010-09-01 6314.1322484081 5437.1108693876 618.435380161503
2010-10-01 6177.01289415746 5469.01662622724 1153.76604804004
2010-11-01 6039.11952989879 5500.76360419883 530.790201543899
2010-12-01 5968.65606325498 5532.36407345172 1169.1072655789
2011-01-01 6234.14885878365 5566.35798727602 430.176162621986
2011-02-01 6022.53385055224 5602.53078581186 871.386471034448
2011-03-01 5971.7194057055 5637.59209753891 317.751931376747
2011-04-01 6000.58965552555 5673.78416903067 654.094060521021
2011-05-01 5785.37364708181 5711.2995915763 256.12412000978
2011-06-01 5836.55744295998 5754.69384231301 504.560701251644
2011-07-01 5849.19828553362 5799.15102826931 320.713728374693
2011-08-01 5845.22459170856 5837.86065845004 689.808020959695
2011-09-01 5646.82768218712 5873.22331436193 1016.31324696519
2011-10-01 5448.0157820738 5911.03283021234 310.27475550318
2011-11-01 5472.49827593967 5954.44634732776 618.826323846487
2011-12-01 5367.80303468801 5995.37182927049 217.895995175252
2012-01-01 5577.75842313083 6036.67797056302 1111.47978905931
2012-02-01 5305.14781959812 6080.25631457348 1111.12261893042
2012-03-01 5355.58198728849 6124.75999276521 736.613887434162
2012-04-01 5209.92280137256 6170.72999551025 1016.60026755206
2012-05-01 4989.61858521975 6216.82821902649 702.768750472646
2012-06-01 4894.91085600292 6258.75854820672 421.635202739472
2012-07-01 4803.45664158472 6300.81955260844 568.112538270781
2012-08-01 4902.45062383248 6346.02134715465 814.775901935682
2012-09-01 4902.81020792115 6389.75579087892 1108.78426910198
2012-10-01 4975.6149119273 6432.49091635551 901.18192800259
2012-11-01 4885.12475261562 6474.31401766268 310.572318226237
2012-12-01 4663.96745006257 6514.56790158617 372.142737186823
2013-01-01 5067.78683887478 6558.37784144396 1179.12540935486
2013-02-01 4961.57312089028 6599.91530677807 918.55933630054
2013-03-01 4812.08781456999 6640.97556831914 406.248215495909
2013-04-01 4706.66863972973 6679.18133448397 1062.92552653673
2013-05-01 4454.12967828402 6722.74650841067 959.130528489228
2013-06-01 4537.47790924035 6764.13400680223 737.750458657466
2013-07-01 4673.86618355396 6810.57191635877 606.335719964747
2013-08-01 4607.89664239723 6855.81419173856 741.610011448364
2013-09-01 4601.21645652529 6899.79983915325 630.711718702506
2013-10-01 4901.01243038942 6943.9800532132 345.540756242328
2013-11-01 4726.64311454656 6985.0090572348 1045.19192808407
2013-12-01 4732.72852369461 7019.32311516277 583.86622658843
2014-01-01 4987.6766136876 7048.00224996059 646.939847756966
2014-02-01 4693.09945108517 7075.63137124044 657.368136208629
2014-03-01 4836.89484601488 7105.39912146446 587.281037381644
2014-04-01 4795.91481780559 7131.89614957195 803.204791072847
2014-05-01 4437.10566610291 7157.95867096262 1168.39321857417
2014-06-01 4474.93484345709 7186.06229121107 534.912279253204
2014-07-01 4367.14218602498 7212.71551858725 270.898331372781
2014-08-01 4123.72451748581 7239.81201094746 655.942177086027
2014-09-01 4046.93675365948 7268.49348581626 656.29093389878
2014-10-01 4139.31308720441 7301.81938858418 448.686322849734
2014-11-01 3964.24324462182 7335.7067418943 889.426724509998
2014-12-01 4010.82728108062 7372.18419951704 969.038073571605
2015-01-01 4224.60161139281 7411.99174639645 679.198052450575
2015-02-01 4023.77015165949 7448.06476888812 1065.25380573405
2015-03-01 4001.60952459529 7481.12750626514 414.39512030492
2015-04-01 3948.78906642871 7514.39743155332 700.126403782937
2015-05-01 3481.58937141737 7543.6004019152 739.24889848337
2015-06-01 3599.26945713129 7569.43583188593 588.564841505236
2015-07-01 3399.28496684197 7594.21793186643 487.066028435468
2015-08-01 3177.02475084704 7620.8554601369 524.757704749144
2015-09-01 3049.41801031997 7647.96681864182 233.436359777965
2015-10-01 3070.80001669166 7677.45568914337 436.334378470932
2015-11-01 2791.56931036347 7709.02241035914 1070.8961481578
2015-12-01 2646.56455871136 7738.26774689326 867.741586971614
2016-01-01 2919.44577323802 7774.07752355681 1042.33383634018
2016-02-01 2649.32665593501 7810.39938771742 436.177430990444
2016-03-01 2348.6243592228 7850.96403207645 1054.08415466053
2016-04-01 2330.48722625222 7887.80627337333 524.087811580483
2016-05-01 2261.53042236075 7922.99409155084 617.892981464666
2016-06-01 2148.93085226225 7959.14679859118 602.311847894534
2016-07-01 2086.01808553401 7996.40848158351 1009.449431232
2016-08-01 1816.42291426728 8031.07529891047 794.812131580299
2016-09-01 1618.82559119445 8064.55541829883 602.059310252933
2016-10-01 1729.4215833833 8097.18341460616 1148.88249281496
2016-11-01 1299.40996880941 8127.2086451904 845.505317402486
2016-12-01 1013.857557987 8158.69729581875 266.535090673824
2017-01-01 1165.40277071761 8192.49536231974 1049.02533846712
2017-02-01 830.360443550344 8225.09830547232 573.190002404266
2017-03-01 696.172846755948 8256.69303073311 923.026401362276
2017-04-01 545.500669258837 8289.30647381998 762.219110406826
2017-05-01 340.216374581043 8322.70917282264 1139.44552789379
2017-06-01 406.378759638165 8357.4547778548 1098.633452463
2017-07-01 206.889303463191 8386.94273943445 546.766332205257
2017-08-01 0 8417.93507268198 768.794889351191
